#,Date Time,precipitation Counts (#),Temp (°C) c:2,RH (%) c:3,Wind Speed (m/s) c:5,Gust Speed (m/s) c:6,Wind Direction (ø) c:7,Pressure (mbar) c:8,Water Content (m³/m³) c:9,Batt (V)
143,05/04/12 02:46:37,0.00,22.561,85.000,0.37,3.15,193.7,977.850,0.2104,4.321
144,05/04/12 03:01:37,0.00,22.681,85.200,1.30,3.90,189.5,978.250,0.2104,4.327
145,05/04/12 03:16:37,0.00,22.800,85.300,1.86,4.27,200.8,978.350,0.2100,4.321
146,05/04/12 03:31:37,0.00,22.824,85.700,1.67,3.90,210.6,978.450,0.2100,4.321
147,05/04/12 03:46:37,0.00,22.585,88.200,0.93,2.41,224.6,978.850,0.2104,4.321
148,05/04/12 04:01:37,0.00,22.441,88.600,0.37,2.23,249.9,978.550,0.2104,4.321
149,05/04/12 04:16:37,0.00,22.274,90.000,0.00,0.00,226.0,978.350,0.2104,4.339
150,05/04/12 04:31:37,0.00,22.011,91.700,0.00,0.00,237.3,978.150,0.2112,4.321
151,05/04/12 04:46:37,0.00,21.795,92.900,0.00,0.00,237.3,977.550,0.2109,4.321
152,05/04/12 05:01:37,0.00,21.676,93.800,0.37,1.67,214.8,977.450,0.2112,4.321
153,05/04/12 05:16:37,0.00,21.843,93.900,0.00,0.00,179.7,977.250,0.2112,4.321
154,05/04/12 05:31:37,0.00,21.891,93.900,0.19,2.60,150.2,976.350,0.2109,4.321
155,05/04/12 05:46:37,0.00,21.795,93.800,2.60,4.64,146.0,975.550,0.2104,4.321
156,05/04/12 06:01:37,0.00,21.748,93.800,2.04,4.45,161.5,976.150,0.2104,4.321
157,05/04/12 06:16:37,0.00,21.772,93.400,2.04,4.64,154.4,975.550,0.2104,4.321
158,05/04/12 06:31:37,0.00,21.628,93.600,2.04,4.82,154.4,975.550,0.2104,4.321
159,05/04/12 06:46:37,0.00,21.533,94.400,2.41,4.27,167.1,975.850,0.2109,4.321
160,05/04/12 07:01:37,0.00,21.413,94.700,1.48,2.97,148.8,975.950,0.2109,4.321
161,05/04/12 07:16:37,0.00,21.294,95.200,2.04,3.34,167.1,976.350,0.2104,4.339
162,05/04/12 07:31:37,0.00,21.604,94.500,1.67,2.97,172.7,976.650,0.2100,4.418
163,05/04/12 07:46:37,0.00,22.058,93.400,0.56,1.86,212.0,977.450,0.2100,4.393
164,05/04/12 08:01:37,0.00,22.441,93.000,1.48,3.71,207.8,977.650,0.2095,4.363
165,05/04/12 08:16:37,0.00,22.968,90.900,1.30,2.97,199.4,977.750,0.2095,4.393
166,05/04/12 08:31:37,0.00,22.896,89.400,1.48,3.71,205.0,977.950,0.2092,4.363
167,05/04/12 08:46:37,0.00,23.328,88.200,1.48,4.27,214.8,978.050,0.2092,4.369
168,05/04/12 09:01:37,0.00,23.593,86.800,1.48,3.34,205.0,978.050,0.2092,4.418
169,05/04/12 09:16:37,0.00,23.376,86.200,1.30,2.78,217.6,978.050,0.2092,4.381
170,05/04/12 09:31:37,0.00,24.050,84.600,1.30,4.45,210.6,978.050,0.2092,4.484
171,05/04/12 09:46:37,0.00,24.315,81.600,1.86,4.08,214.8,977.950,0.2087,4.393
172,05/04/12 10:01:37,0.00,24.798,78.900,2.04,5.01,210.6,977.850,0.2087,4.363
173,05/04/12 10:16:37,0.00,24.919,78.500,1.48,3.71,224.6,977.650,0.2087,4.393
174,05/04/12 10:31:37,0.00,25.744,76.300,1.86,3.90,213.4,977.550,0.2087,4.363
175,05/04/12 10:46:37,0.00,26.061,74.000,2.60,5.38,210.6,977.650,0.2083,4.418
176,05/04/12 11:01:37,0.00,25.720,74.500,2.23,4.82,210.6,977.850,0.2083,4.381
177,05/04/12 11:16:37,0.00,26.207,72.400,1.67,4.45,217.6,977.750,0.2078,4.484
178,05/04/12 11:31:37,0.00,27.456,68.800,1.86,3.53,227.4,977.750,0.2083,4.393
179,05/04/12 11:46:37,0.00,26.989,69.500,2.23,4.64,198.0,977.650,0.2083,4.363
